Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),,MAF,km3,,
Wright Patman Dam,,Lake Texarkana Dam,TX00021,,TX00021,USACE - Fort Worth District,Federal,Federal,0,No,CESWF,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation;Water Supply,US Army Corps of Engineers,TX00021,33.31279176,-94.16142485,Texas,Bowie,TEXARKANA,,SULPHUR RIVER,"Texas, Congressional District 01",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Soil,106,101,106,106,Greater than 100 feet,18640,7370000,1954,1950-1959,,6505000,6505000,145300,20300,,6.505,8.0239175,,
Fort Randall Dam,Lake Francis Case,,SD01093,,SD01093,USACE - Omaha District,Federal,Federal,0,No,CENWO,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Navigation;Recreation;Hydroelectric,US Army Corps of Engineers,SD01093,43.06110325,-98.56016797,South Dakota,Charles Mix,GREENWOOD,13,MISSOURI RIVER,"South Dakota, Congressional District 00",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,No,,Earth,Earth,Earth,Rock;Soil,,160,170,170,Greater than 100 feet,10700,50200000,1954,1950-1959,,6300000,6300000,3800000,118400,,6.3,7.77105,,
Wolf Creek Dam,Lake Cumberland,,KY03010,,KY03010,USACE - Nashville District,Federal,Federal,0,No,,No,Hydroelectric,Hydroelectric;Other;Recreation;Water Supply;Flood Risk Reduction,US Army Corps of Engineers,KY03010,36.86977861,-85.14379758,Kentucky,Russell,BURKESVILLE,,CUMBERLAND,"Kentucky, Congressional District 01",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,No,,Gravity,Gravity;Earth,Earth,Rock,,233,258,258,Greater than 100 feet,5736,11396500,1951,1950-1959,,6089000,6089000,2142000,50250,,6.089,7.5107815,,
Libby Dam,Lake Koocanusa,,MT00652,,MT00652,USACE - Seattle District,Federal,Federal,0,No,CE,No,Hydroelectric,Hydroelectric;Recreation;Flood Risk Reduction,US Army Corps of Engineers,MT00652,48.41028848,-115.3142655,Montana,Lincoln,LIBBY,17,KOOTENAI RIVER,"Montana, Congressional District 01",No,No,,No,No,No,Yes,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers;Forest Service,US Army Corps of Engineers,,,Gravity,Gravity,,,,362,422,422,Greater than 100 feet,2890,375000,1973,1970-1979,,6027000,6027000,5809000,46500,,6.027,7.4343045,,
Bull Shoals Dam,Bull Shoals Lake,,AR00160,,AR00160,USACE - Little Rock District,Federal,Federal,0,No,CESWL,No,Flood Risk Reduction,Flood Risk Reduction;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,AR00160,36.36598692,-92.57523109,Arkansas,Baxter,COTTER,,WHITE,"Arkansas, Congressional District 01",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Concrete,Concrete;Gravity,Concrete,Rock,256,238,282,282,Greater than 100 feet,2256,2100000,1951,1950-1959,,5408000,5408000,3048000,454400,,5.408,6.670768,,
Harry S. Truman Dam,Harry S. Truman Reservoir,Kaysinger Bluff Dam,MO20725,,MO20725,USACE - Kansas City District,Federal,Federal,2,No,CENWK,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation;Hydroelectric,US Army Corps of Engineers,MO20725,38.26375463,-93.40356992,Missouri,Benton,WARSAW,,OSAGE RIVER,"Missouri, Congressional District 04",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Rockfill,Rockfill;Earth;Gravity,Earth,Rock,98,98,98,98,51-100 feet,5000,7411000,1978,1970-1979,,5202000,5202000,1203404,55600,,5.202,6.416667,,
Denison Dam,Lake Texoma,,OK10317,,OK10317,USACE - Tulsa District,Federal,Federal,2,No,,No,Flood Risk Reduction,Flood Risk Reduction;Other;Hydroelectric;Water Supply,US Army Corps of Engineers,OK10317,33.83022122,-96.57086832,Oklahoma,Bryan,HENDRIX,,RED RIVER,"Oklahoma, Congressional District 02",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock,165,161,165,165,Greater than 100 feet,17200,18800000,1944,1940-1949,,5194163,5194163,2580386,86910,,5.194163,6.407000061,,
Amistad Dam,,,TX02296,,TX02296,International Boundary and Water Commission;Mexico Comision Internacional de Limites y Aguas,Federal,Federal,0,No,,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric,International Boundary and Water Commission,,29.449826,-101.057032,Texas,Val Verde,Del Rio,12,Rio Grande,"Texas, Congressional District 23",No,No,,No,No,No,Yes,International Boundary and Water Commission,International Boundary and Water Commission,US Army Corps of Engineers,International Boundary and Water Commission,International Boundary and Water Commission,US Army Corps of Engineers,International Boundary and Water Commission,US Army Corps of Engineers,No,N/A,Concrete,Concrete;Earth,Earth,Rock,254,247,287,287,Greater than 100 feet,32022,17055000,1969,1960-1969,,5128000,5128000,3384000,89000,,5.128,6.325388,,
Toledo Bend                                                      ,Toledo Bend (Res),,LA00030,,LA00030,"Sabine River Authority of Texas and Sabine River Authority, State of Louisiana (Authorities)",State,State,4,No,"FORREST AND COTTON, INC., DALLAS, TX",No,Hydroelectric,Hydroelectric;Navigation;Recreation;Water Supply,Federal Energy Regulatory Commission,02305-01-01,31.1857,-93.5684,Louisiana,Sabine,"Burr Ferry, LA                                    ",10,Sabine                        ,"Louisiana, Congressional District 04",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth;Gravity,Earth,Soil,112,100,135,135,Greater than 100 feet,10350,4700000,1966,1960-1969,,5097500,5097500,4492000,182490,,5.0975,6.28776625,,
Painted Rock Dam,Painted Rock Reservoir,,AZ10002,,AZ10002,USACE - Los Angeles District,Federal,Federal,1,No,CESPL,No,Flood Risk Reduction,Flood Risk Reduction,US Army Corps of Engineers,AZ10002,33.071998,-113.016526,Arizona,Maricopa,AGUA CALIENTE,,GILA RIVER,"Arizona, Congressional District 07",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,,,181,172,,181,Greater than 100 feet,4780,0,1960,1960-1969,,4831500,4831500,0,1,,4.8315,5.95965525,,
Shasta,,,CA10186,,CA10186,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Hydroelectric,Hydroelectric;Irrigation;Navigation;Recreation;Water Supply,Bureau of Reclamation,,40.7186,-122.4192,California,Shasta,REDDING,9,SACRAMENTO RIVER,"California, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Concrete,Concrete;Gravity,Bituminous Concrete,Rock,602,526,602,602,Greater than 100 feet,3460,8430000,1945,1940-1949,,4661860,4661860,4552090,30210,,4.66186,5.75040431,,
Flaming Gorge,,,UT10121,,UT10121,RECLAMATION,Federal,Federal,0,No,,No,Flood Risk Reduction,Flood Risk Reduction;Recreation;Hydroelectric;Water Supply,Bureau of Reclamation,,40.9149,-109.4219,Utah,Daggett,GREENDALE JUNCTION,35,GREEN RIVER,"Utah, Congressional District 03",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Concrete,Concrete;Arch,Bituminous Concrete,Rock,502,448,502,502,Greater than 100 feet,1285,986600,1963,1960-1969,,4003100,4003100,3788900,42040,,4.0031,4.93782385,,
Eufaula Dam,Eufaula Lake,,OK10308,,OK10308,USACE - Tulsa District,Federal,Federal,0,No,CESWT,No,Flood Risk Reduction,Flood Risk Reduction;Other;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,OK10308,35.30449621,-95.36025232,Oklahoma,Haskell,WHITEFIELD,,CANADIAN RIVER,"Oklahoma, Congressional District 02",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Gravity,Gravity;Earth,Earth,Rock;Soil,114,106,114,114,Greater than 100 feet,3200,3850600,1964,1960-1969,,3825400,3825400,2314600,143000,,3.8254,4.7186309,,
J. Strom Thurmond Dam,J. Strom Thurmond Lake,Clark Hill Dam & Lake,GA01701,,GA01701,USACE - Savannah District,Federal,Federal,0,No,CESAS,No,Hydroelectric,Hydroelectric;Other;Fish and Wildlife Pond;Recreation;Water Supply;Flood Risk Reduction,US Army Corps of Engineers,GA01701,33.66117856,-82.19965703,Georgia,McCormick,AUGUSTA,22,SAVANNAH RIVER,"South Carolina, Congressional District 03",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Concrete,Concrete;Earth;Gravity,Earth,Rock,124,170,200,200,Greater than 100 feet,5680,4550000,1954,1950-1959,,3820000,3820000,2510000,71000,,3.82,4.71197,,
Blakely Mountain Dam,Lake Ouachita,,AR00150,,AR00150,USACE - Vicksburg District,Federal,Federal,0,No,CEMVK,No,Flood Risk Reduction,Flood Risk Reduction;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,AR00150,34.57300841,-93.19501188,Arkansas,Garland,MOUNTAIN PINE,4,OUACHITA RIVER,"Arkansas, Congressional District 04",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock,226,216,240,240,Greater than 100 feet,1100,4215000,1953,1950-1959,2009O,3760700,3760700,2151100,40100,,3.7607,4.63882345,,
Hungry Horse,,,MT00565,,MT00565,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Hydroelectric,Bureau of Reclamation,,48.3413,-114.0126,Montana,Flathead,HUNGRY HORSE,4,SOUTH FORK FLATHEAD RIVER,"Montana, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Concrete,Concrete;Arch,Bituminous Concrete,Rock,564,525,564,564,Greater than 100 feet,2115,0,1952,1950-1959,,3588000,3588000,3468000,24100,,3.588,4.425798,,
Dworshak Dam,Dworkshak Reservoir,Dworshak Dam and Reservoir,ID00287,,ID00287,USACE - Walla Walla District,Federal,Federal,0,No,,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,ID00287,46.51554363,-116.2963881,Idaho,Clearwater,AHSAHKA,,NORTH FORK CLEARWATER RIVER,"Idaho, Congressional District 01",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Concrete,Concrete;Gravity,,Rock,,633,717,717,Greater than 100 feet,3287,6450000,1973,1970-1979,,3560000,3560000,3468000,17090,,3.56,4.39126,,
Oroville,,,CA00035,,CA00035,California Department of Water Resources,State,State,3,No,DWR,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,02100-01-01,39.5364,-121.4834,California,Butte,Oroville,3,Feather River                 ,"California, Congressional District 01",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth;Rockfill,Earth,Rock,770,748,770,770,Greater than 100 feet,6920,80000000,1968,1960-1969,,3540000,3540000,3540000,15800,,3.54,4.36659,,
Bidwell Bar Canyon Saddle,,,CA00035,S001,CA00035S001,California Department of Water Resources,State,State,3,Yes,DWR,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply,Federal Energy Regulatory Commission,02100-01-02,39.5118,-121.458,California,Butte,Oroville,5,Feather River                 ,"California, Congressional District 01",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth;Rockfill,Earth,Rock,47,25,50,50,51-100 feet,2270,191000,1968,1960-1969,,3540000,3540000,3540000,15800,,3.54,4.36659,,
Table Rock Dam,Table Rock Lake,,MO30202,,MO30202,USACE - Little Rock District,Federal,Federal,0,No,CESWL,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,MO30202,36.59596719,-93.31081282,Missouri,Taney,BRANSON,,WHITE,"Missouri, Congressional District 07",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Concrete,Concrete;Earth;Gravity,Earth,Rock,252,238,260,260,Greater than 100 feet,6454,4550000,1959,1950-1959,,3462000,3462000,2702000,43100,,3.462,4.270377,,
Clemson Lower Diversion Dam - Saddle Dike,,,SC02754,S001,SC02754S001,USACE - Savannah District,Federal,Federal,0,Yes,CESAS,No,Flood Risk Reduction,Flood Risk Reduction,US Army Corps of Engineers,SC02754S001,34.66689,-82.84873,South Carolina,Oconee,CLEMSON,,SENECA,"South Carolina, Congressional District 03",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,No,,Earth,Earth,,,30,,,30,25-50 feet,,,1961,1960-1969,,3438700,3438700,2550000,,,3.4387,4.24163645,,
Hartwell Dam,Hartwell Lake,,GA01702,,GA01702,USACE - Savannah District,Federal,Federal,2,No,CESAS,No,Hydroelectric,Hydroelectric;Other;Fish and Wildlife Pond;Recreation;Water Supply;Flood Risk Reduction,US Army Corps of Engineers,GA01702,34.35775828,-82.82142793,Georgia,Hart,HARTWELL,8,SAVANNAH RIVER,"Georgia, Congressional District 09",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Concrete,Concrete;Earth;Gravity,Concrete,,155,199,204,204,Greater than 100 feet,17852,5518900,1962,1960-1969,,3438700,3438700,2550000,55950,,3.4387,4.24163645,,
Lower Red Lake Dam,Miskwaagamiiwi-Zaagaiganing;Red Lakes Reservoir;Upper and Lower Red Lakes,,MN00573,,MN00573,USACE - St. Paul District,Federal,Federal,0,No,,No,Other,Other;Flood Risk Reduction,US Army Corps of Engineers,MN00573,47.959831,-95.27462255,Minnesota,Clearwater,THIEF RIVER FALLS,71,RED LAKE RIVER,"Minnesota, Congressional District 08",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Soil,15,13,17,17,Less than 25 feet,36500,140300,1931,1930-1939,,3428000,3428000,1210000,288640,,3.428,4.228438,,
Theodore Roosevelt,,,AZ10317,,AZ10317,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Hydroelectric,Hydroelectric;Irrigation;Recreation,Bureau of Reclamation,,33.6715,-111.1615,Arizona,Maricopa,GLOBE,30,SALT RIVER,"Arizona, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Masonry,Masonry;Arch,Bituminous Concrete,Rock,357,316,357,357,Greater than 100 feet,1208,720000,1911,1910-1919,1996E;1996F;1996H;1996S,3411500,3411500,1653043,31852,,3.4115,4.20808525,,
John H. Kerr Dam,,Buggs Island Saddle Dike No. 1,VA117001,,VA117001,USACE - Wilmington District,Federal,Federal,4,No,CE,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,VA117001,36.598453,-78.29855314,Virginia,Mecklenburg,ROANOKE RAPIDS,,Roanoke River,"Virginia, Congressional District 05",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Gravity,Gravity;Earth,Earth,Rock and Soil,,138,144,144,Greater than 100 feet,2785,1338702,1953,1950-1959,,3363500,3363500,1488600,48900,,3.3635,4.14887725,,
